RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
21.0,40.0,5.890991458164766,929999.9999999999,0.1924004997329999,0.6021277103190318,0.7752087602495584,0.8554432760996933,0.6021277103190318
22.0,42.0,6.039173571436193,929999.9999999999,0.18458699702751744,0.5944932081249391,0.7702595772394851,0.8520901669254677,0.5944932081249391
23.0,44.0,6.212544884064691,939999.9999999999,0.17584716118514115,0.585683722840834,0.7645091877841077,0.8481837497983497,0.585683722840834
24.0,46.0,6.405748506329756,939999.9999999999,0.16659419490183502,0.5760202117441634,0.7581515615012734,0.843851564859068,0.5760202117441634
25.0,48.00000000000001,6.597231351883518,929999.9999999999,0.15790411648331232,0.5666000965414123,0.7519027265119593,0.8395797973903893,0.5666000965414123
26.0,50.0,6.815255554229971,929999.9999999999,0.1485600689795006,0.5560616855776767,0.7448504265537422,0.8347422443246776,0.5560616855776767
27.0,52.0,7.033332644514669,929999.9999999999,0.13976689157510527,0.5457167971732899,0.7378625853178387,0.8299314012752165,0.5457167971732899
28.0,54.0,7.254161610177226,929999.9999999999,0.13139297617336151,0.5354374659814353,0.7308533659112673,0.8250881035725974,0.5354374659814353
29.0,56.0,7.478768816194063,929999.9999999999,0.12339026942271583,0.5251808636428154,0.7237925212043003,0.8201909331610795,0.5251808636428154
30.0,58.00000000000001,7.696471218758929,929999.9999999999,0.11609904668432061,0.5154271074945282,0.7170138473507942,0.815472051434945,0.5154271074945282
31.0,59.99999999999999,7.901010180385915,929999.9999999999,0.10964171966283907,0.5064282271247607,0.7107029026475746,0.8110632379827066,0.5064282271247607
32.0,62.0,8.110062351650908,939999.9999999999,0.1034128814105361,0.4973931134509386,0.7043101005445849,0.8065817726232886,0.4973931134509386
33.0,64.0,8.332672352461577,939999.9999999999,0.09716862900892127,0.48794918385632613,0.6975659069912895,0.8018368868281883,0.48794918385632613
34.0,66.0,8.536777786112754,939999.9999999999,0.09177532613731289,0.4794479410287569,0.6914390934847129,0.7975109548547095,0.4794479410287569
35.0,68.0,8.734740125680638,929999.9999999999,0.08683048439434657,0.4713440828334367,0.685548094748295,0.7933375199202373,0.4713440828334367
36.0,70.0,8.927304006789976,929999.9999999999,0.08227624427613393,0.46359266138858873,0.67986590441982,0.7892988507462605,0.46359266138858873
37.0,72.0,9.105560479118461,929999.9999999999,0.07827356913589832,0.45653083327069427,0.6746478849906634,0.785578580328737,0.45653083327069427
38.0,74.0,9.2854075210576,949999.9999999999,0.07443249058873513,0.4495150037023535,0.6694238909168915,0.781842884423994,0.4495150037023535
39.0,76.0,9.47264558760108,949999.9999999999,0.07063369202653898,0.44232538073430877,0.6640281847515499,0.7779725390928659,0.44232538073430877
40.0,78.0,9.631618758545155,959999.9999999999,0.06756093207197438,0.43631141865177187,0.6594811503599438,0.7747014924747266,0.43631141865177187
41.0,80.0,9.800568748201965,959999.9999999999,0.06444171785475405,0.4300096331085396,0.6546828777671994,0.7712402357430684,0.4300096331085396
42.0,82.0,9.959588073225092,959999.9999999999,0.06163752988691809,0.42416143308660054,0.6501985397156317,0.7679965561530004,0.42416143308660054
43.0,84.0,10.107267416950155,959999.9999999999,0.059142710552632365,0.4188015336837833,0.6460615016709621,0.7649964086271805,0.4188015336837833
44.0,86.0,10.24793144966502,959999.9999999999,0.056860363163112555,0.41375924225728244,0.6421454675015422,0.7621496778656573,0.41375924225728244
45.0,88.0,10.377377738969567,959999.9999999999,0.054837931218775955,0.40917272235213387,0.6385627071776536,0.7595393303265296,0.40917272235213387
46.0,90.0,10.50814604700867,999999.9999999999,0.05286787590969552,0.4045909820083416,0.6349636529607354,0.756911401344532,0.4045909820083416
